Year,Yearly Rank,Source,Prefix,CH,40,10,PK,High,Verified,Artist,Artist Inverted,Featured,UnFeatured,Album,B-Side,Track,Time,Time Source,explicit,Time (Album),Artist ID,SYMBL,ReIssue,Label/Number,Media,Stereo (55-68),Pic Sleeve,Genre,Comments,Written By,Temp 1,Date Entered,Date Peaked,1st Week,2nd Week,3rd Week,4th Week,5th Week,6th Week,7th Week,8th Week,9th Week,10th Week,11th Week,12th Week,13th Week,14th Week,15th Week,16th Week,17th Week,18th Week,19th Week,20th Week,21st Week,22nd Week,23rd Week,24th Week,25th Week,26th Week,27th Week,28th Week,29th Week,30th Week,31st Week,32nd Week,33rd Week,34th Week,35th Week,36th Week,37th Week,38th Week,39th Week,40th Week,41st Week,42nd Week,43rd Week,44th Week,45th Week,46th Week,47th Week,48th Week,49th Week,50th Week,51st Week,52nd Week,53rd Week,54th Week,55th Week,56th Week,57th Week,58th Week,59th Week,60th Week,61st Week,62nd Week,63rd Week,64th Week,65th Week,66th Week,67th Week,68th Week,69th Week,70th Week,71st Week,72nd Week,73rd Week,74th Week,75th Week,76th Week,77th Week,78th Week,79th Week,80th Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,274,h,2013-005,33,17,0,1,16,,Ed Sheeran,"Sheeran, Ed",,,+ (Deluxe Version),--,The A Team,4:18,,,,8251,,,Elektra Digital,DD,,,,,E.Sheeran,1857,7/28/2012,1/12/2013,95,98,99,92,85,75,73,69,69,61,52,48,45,43,41,34,35,26,25,23,23,18,17,17,16,18,19,19,21,23,20,32,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,291,h,2013-006,74,53,20,4,3,,Imagine Dragons,Imagine Dragons,,,Continued Silence - EP,--,Radioactive,3:07,,,,8221,,,KIDinaKORNER Digital,DD,,,,,"Imagine Dragons,A.Grant,J.Mosser",5047,8/18/2012,7/6/2013,93,98,,,,,91,93,95,98,90,93,90,87,83,71,76,72,65,55,52,51,49,41,36,34,33,33,37,22,20,17,18,15,7,11,14,12,10,8,8,8,9,8,6,4,3,4,4,4,3,4,3,3,4,5,9,12,13,14,14,15,15,16,16,21,23,20,24,25,25,30,31,25,24,31,41,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,306,h,2013-007,25,15,0,1,25,,"Script, The","Script, The",Featuring will.i.am,,s,--,Hall Of Fame,3:22,,,,8078,,,Phonogenic Digital,DD,,,,,"D.O'Donoghue,M.Sheehan,W.Adams,J.Barry",1423,9/8/2012,2/23/2013,87,,,,,,96,71,70,53,46,50,49,46,40,36,38,37,28,32,26,26,30,30,25,33,31,37,35,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,316,h,2013-008,49,41,21,6,1,,Macklemore,Macklemore,& Ryan Lewis Featuring Wanz,,s,--,Thrift Shop,3:55,,x,,8233,,,Macklemore Digital,DD,,,,,"B.Haggerty,R.Lewis",3823,9/15/2012,2/2/2013,96,,,,,,96,82,77,66,55,42,35,28,21,13,10,10,5,2,1,1,1,1,2,2,2,2,2,1,1,2,2,3,4,6,7,11,12,14,17,19,21,24,24,28,24,29,31,31,39,40,37,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,323,h,2013-009,22,6,0,1,29,,Lil Wayne,Lil Wayne,Featuring Detail,,s,--,No Worries,3:42,,x,,7575,,,Young Money/Cash Money Digital,DD,,,,,"D.Carter,N.C.Fisher,B.Williams,J.A.Preyan,R.Diaz",994,9/22/2012,1/12/2013,96,58,80,80,82,76,72,66,61,54,52,50,42,39,39,34,29,38,38,43,50,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,333,h,2013-010,24,18,1,1,9,,P!nk,Pink,,,Truth About Love,--,Try,4:07,,,,6711,,,RCA Digital,DD,,,,,"busbee,B.West",1731,10/6/2012,2/16/2013,56,,,,,,93,69,50,18,20,16,14,13,18,16,12,13,11,9,13,18,20,25,30,32,37,43,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,334,h,2013-011,33,22,6,2,6,,Swedish House Mafia,Swedish House Mafia,Featuring John Martin,,s,--,Don't You Worry Child,3:32,,,,8255,,,Astralwerks Digital,DD,,,,,"J.Martin,M.Zitron,Axwell,S.Ingrosso,S.Angello",2291,10/6/2012,2/16/2013,68,91,90,80,75,55,57,48,33,28,21,14,12,11,15,11,7,7,7,6,6,11,12,10,11,15,20,25,26,35,41,46,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,336,h,2013-012,12,0,0,1,81,,Game,Game,"Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne",,s,--,Celebration,4:49,,,,6798,,,DGC Digital,DD,,,,,"J. Luttrell,S.A.Wisner,E.M.Iglesias,R.Judrin,F.El Ghoul,F.Lenssen,P.Melki,Y.Chirescu",142,10/6/2012,1/12/2013,82,,,,,,,,100,96,90,95,85,83,81,88,85,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,348,h,2013-013,20,11,0,2,17,,Pitbull,Pitbull,Featuring TJR,,s,--,Don't Stop The Party,3:26,,,,4915,,,Mr. 305/Polo Grounds Digital,DD,,,,,"A.C.Perez,T.J.Rozdilsky,J.Garcia,J.Gomez Martinez,W.Lyn,F.Hibbert",1060,10/13/2012,1/19/2013,89,,,,99,91,81,61,30,31,31,30,27,31,17,17,22,27,32,44,59,65,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,355,h,2013-014,20,0,0,1,54,,Brad Paisley,"Paisley, Brad",,,s,--,Southern Comfort Zone,5:20,,,,7261,,,Arista Nashville Digital,DD,,,,,"B.Paisley,C.DuBois,J.K.Lovelace",617,10/20/2012,2/16/2013,73,81,84,87,71,68,72,75,73,73,69,71,71,62,56,61,57,54,58,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
