artist,track,date,danceability,energy,mood,track_id,mxm_track_id
Jimmie Rodgers,The Wizard,9/1/1958,0.68,0.52,0.89,TRYDBRY128F930102E,10212018
Don Gibson,Give Myself A Party,10/27/1958,0.7,0.35,0.85,TRGXIJO128F9317976,13238795
Chuck Berry,Sweet Little Rock And Roller,12/1/1958,0.44,0.89,0.86,TROUJSW12903CDF959,12303388
Enoch Light,I Want To Be Happy Cha Cha,12/8/1958,0.71,0.96,0.96,TRAMOUP12903CE33BB,2716932
Faron Young,Alone With You,8/11/1958,0.55,0.57,0.85,TRUNDTX128F92FE58D,5087273
Lou Monte,The Sheik Of Araby,7/28/1958,0.61,0.7,0.85,TRNDSGI128F931842C,1630604
Doris Day,Teacher's Pet,5/19/1958,0.78,0.4,0.62,TRYFVJP128F4265501,2334642
Don Gibson,Look Who's Blue,11/17/1958,0.5,0.63,0.66,TRZMEIO128F931795C,13238796
Jerry Vale,Go Chase A Moonbeam,11/10/1958,0.48,0.44,0.68,TRDQQZL12903CE59EE,2116085
Marvin Rainwater,Whole Lotta Woman,4/7/1958,0.53,0.65,0.88,TRCRZLX12903CDB1C2,9488174
Bobby Helms,Jacqueline,6/9/1958,0.63,0.66,0.88,TRKXKWG12903CE0158,1214301
Hank Locklin,Geisha Girl,2/3/1958,0.64,0.51,0.73,TRCETGM128F935E37F,4109638
Johnny Cash,Come In Stranger,6/30/1958,0.51,0.75,0.95,TRGNYEZ12903CCB49E,4710778
Bing Crosby,White Christmas,12/29/1958,0.21,0.37,0.24,TRBSAAI12903C9EC72,9965333
Ivan,Real Wild Child,10/13/1958,0.39,0.55,0.85,TRCKGWO12903CBC4DD,8917525
Ray Price,City Lights,9/8/1958,0.43,0.39,0.53,TRSOGXS128F4266A5E,6385204
Chuck Berry,Merry Christmas Baby,12/29/1958,0.53,0.28,0.51,TRHRWLR128F42A7E2E,12303396
Roger Williams,The World Outside,12/15/1958,0.36,0.19,0.16,TRQRIOT12903CB6728,9235126
Big Bopper,Little Red Riding Hood,12/8/1958,0.59,0.76,0.97,TRQEVIS12903CF3552,7524990
Gene Allison,Have Faith,5/12/1958,0.47,0.26,0.33,TRDCWPE128F9300E0B,5613541
Hank Locklin,Send Me The Pillow You Dream On,6/2/1958,0.34,0.45,0.59,TRAPBPP128F92F07BF,4109640
Little Junior Parker,That's Alright,3/31/1958,0.38,0.29,0.68,TRCGWSO12903CFF472,4181480
Jimmy Edwards,Love Bug Crawl,1/27/1958,0.69,0.59,0.53,TRJLFJP12903CA519A,5418153
Gogi Grant,Strange Are The Ways Of Love,8/25/1958,0.26,0.33,0.2,TRVQNBZ128F4229212,5135111
Don Gibson,I Can't Stop Loving You,4/28/1958,0.54,0.23,0.58,TRYTAWC12903CD56F2,12833315
